"path","type","class","length","dim","is_list_like","preview"
"<root>$results$data$scen_16[[4]]$RepOut","double","numeric",100,NA,FALSE,"c(18948700, 16006816, 15938771) … (97 more)"
"<root>$results$data$scen_16[[4]]$lnRS","double","numeric",100,NA,FALSE,"c(0.182905217737858, 0.740931891997626, 1.13695975614412) … (97 more)"
"<root>$results$data$scen_16[[4]]$meanSesc","double","numeric",100,NA,FALSE,"c(847.934759732805, 850.253281544641, 851.859971188079) … (97 more)"
"<root>$results$data$scen_16[[4]]$meanSret","double","numeric",100,NA,FALSE,"c(848.423582171669, 853.647418652717, 850.806310824984) … (97 more)"
"<root>$results$data$scen_16[[4]]$meanSharv","double","numeric",100,NA,FALSE,"c(848.999836845589, 856.496674985268, 849.813230925108) … (97 more)"
"<root>$results$data$scen_16[[5]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_16[[5]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_16[[5]]$Ret","double","numeric",100,NA,FALSE,"c(19620, 20838, 25675) … (97 more)"
"<root>$results$data$scen_16[[5]]$Rec","double","numeric",100,NA,FALSE,"c(24243, 33745, 17594) … (97 more)"
"<root>$results$data$scen_16[[5]]$eps","double","numeric",100,NA,FALSE,"c(-0.18795, 0.17818, -0.38005) … (97 more)"
"<root>$results$data$scen_16[[5]]$reg","double","numeric",100,NA,FALSE,"c(1, 1, 2) … (97 more)"
"<root>$results$data$scen_16[[5]]$Esc","double","numeric",100,NA,FALSE,"c(11454, 12599, 10131) … (97 more)"
"<root>$results$data$scen_16[[5]]$Harv","double","numeric",100,NA,FALSE,"c(8166, 8239, 15544) … (97 more)"
"<root>$results$data$scen_16[[5]]$RepOut","double","numeric",100,NA,FALSE,"c(10532560, 8576635, 6556030) … (97 more)"
"<root>$results$data$scen_16[[5]]$lnRS","double","numeric",100,NA,FALSE,"c(0.749788901947755, 0.985214812466877, 0.551957904758942) … (97 more)"
"<root>$results$data$scen_16[[5]]$meanSesc","double","numeric",100,NA,FALSE,"c(862.663299100188, 828.137571933673, 847.464563111226) … (97 more)"
"<root>$results$data$scen_16[[5]]$meanSret","double","numeric",100,NA,FALSE,"c(863.963900527696, 826.840597533627, 844.299728049988) … (97 more)"
"<root>$results$data$scen_16[[5]]$meanSharv","double","numeric",100,NA,FALSE,"c(865.786652834303, 824.857674779771, 842.235660910628) … (97 more)"
"<root>$results$data$scen_17","list","list",5,NA,TRUE,NA
"<root>$results$data$scen_17[[1]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_17[[1]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_17[[1]]$Ret","double","numeric",100,NA,FALSE,"c(20691, 24085, 20054) … (97 more)"
"<root>$results$data$scen_17[[1]]$Rec","double","numeric",100,NA,FALSE,"c(51278, 34836, 46303) … (97 more)"
"<root>$results$data$scen_17[[1]]$eps","double","numeric",100,NA,FALSE,"c(0.46372, 0.05944, 0.34886) … (97 more)"
"<root>$results$data$scen_17[[1]]$reg","double","numeric",100,NA,FALSE,"c(1, 1, 2) … (97 more)"
"<root>$results$data$scen_17[[1]]$Esc","double","numeric",100,NA,FALSE,"c(8414, 10555, 11676) … (97 more)"
"<root>$results$data$scen_17[[1]]$Harv","double","numeric",100,NA,FALSE,"c(12277, 13530, 8378) … (97 more)"
